start_ms	end_ms	word
73913	74113	oder
74153	74353	Kies
74373	75675	Schicht.
75695	75935	Damit
75955	76115	kommen
76135	76276	wir
76316	76496	zumdf
76516	76676	zum
76716	76836	2.
76896	77777	Faktor,
77797	77958	dem
77998	79540	Grundwasser.
79600	79860	Tief
79900	80200	unter
80240	80401	unser
80441	80541	uns
80581	80721	ist
80761	80881	der
80921	81141	Boden
81182	81302	Boden
81322	81402	mit
89171	89231	Es
89271	89371	kommt
89391	89471	also
89491	89551	auf
89571	89631	die
89651	90192	Bodenbeschaffen-heit
90212	90372	und
90392	90592	den
90712	91152	Grundwass-.
91192	91433	Aber
91473	91713	woher
91733	92033	kommen
92073	92894	eigentlich
92914	92974	die
92994	93134	Löcher,
93154	93274	die
93294	93434	dann
93454	93654	später
93674	93874	voll
94034	94815	laufen
94875	95075	sollen.
118051	118211	Fast
118231	118471	jeder
118491	118632	See
118652	118792	in
118812	119652	Deutschland
119692	119812	den
119832	119972	du
120012	120613	kennst,
120633	120753	hat
120773	121193	denselben
140825	141105	sondern
141125	142106	Kilometerdicke
142146	143387	Bulldozer.
143407	143567	Sie
143607	144268	schürftenen,
144288	144768	schoben
144808	144948	und
144968	145629	schmögelen
145709	146509	in
146529	146670	den
146710	147610	Boden.
147670	147870	In
147890	148331	genau
148371	148651	diesem
148691	149111	Becken
149171	149512	liegen
149552	149952	heute
149992	150232	unsere
150252	150352	größ
150372	150873	größten
150913	151833	sehen.
151853	152013	Der
152053	152874	Bodense,
152894	153074	der
153114	154295	Chiemsee
154315	154515	oder
154535	154675	der
154715	155316	Starnberger
155356	156217	See.
156237	156437	Sie
156477	156877	alle
156897	157117	sind
157137	157397	nichts
157437	157938	anderes,
157958	158138	als
158178	158298	der
159079	159519	Gletscher
159539	160300	Zunge,
160320	160440	die
160460	160620	sich
160660	160900	tief
160940	161040	ins
162881	163101	Deshalb
163121	163301	sind
163321	163421	sie
163461	163541	auch
163581	163721	so
163781	164742	tief.
164762	164922	Der
164942	165502	Bodensee
165542	166202	beispielsweise
166222	166442	misst
166482	166642	eine
166702	166982	Tiefe
167002	167202	bis
167242	167502	über
167622	169703	überüber.
169723	169843	Und
169863	169963	der
170003	170363	Gletscher
170403	170563	hat
170583	170723	den
170743	171683	Abdichtungsservice
171703	171943	gleich
171983	172243	mitgelie
172263	173184	liefert.
173204	173424	Beim
173464	174104	Abschmel,
174144	174284	ließ
174324	174464	er
174484	175224	tonnweise
175264	175644	feinen
175704	176124	tonigen
176164	176384	Schutt
176424	177244	zurück,
177284	177445	den
177465	178185	sogenannten
178225	179785	Geschibemergel.
179825	180085	Der
180145	180525	kleidet
180545	180645	die
180685	181065	Becken
181085	181245	von
181285	181586	unten
181606	182126	wasserdicht
182166	182966	aus,
182986	183346	ziemlich
183366	184266	praktisch.
184306	184526	Das
184586	184786	Eis
184826	185106	baggert
185126	185326	das
185386	186187	Loch
186227	186347	und
186387	186667	dichtet
186707	186807	es
186847	186967	im
187007	187327	selben
187367	187907	Arbeitsgang
187947	188847	ab.
188867	189087	Aber
189107	189227	die
189287	189847	Eiszeit
189887	190168	brachte
190228	190368	uns
190388	190588	sogar
190628	190808	noch
190828	190948	mehr
190968	191088	als
191108	191308	eine
191328	191628	große
191668	191908	Becken.
193989	201234	späte
201274	202795	Schmelz
202815	203775	darüber
203816	204076	ein
204116	204356	und
204376	204816	hinter
204976	205176	das
205236	206277	Loch.
206297	206737	Diese
206777	207778	Toteislöcher
207798	207958	sind
207978	208118	der
208158	208839	Grund,
208859	209119	warum
209139	209359	gerade
209399	209499	in
209539	210040	Mecklenburg
210080	210240	und
210620	211581	Burg
211621	211921	viele
211961	213102	kleine
213222	213942	Eislöcher
214002	214983	finden.
215043	215243	Und
215283	215703	dann
215723	215863	sind
215883	215983	da
216023	216164	noch
216204	216324	die
216364	217124	langen,
217164	217725	schmalen
217765	217965	Seen
218005	218105	wie
218125	218225	man
218245	218325	sie
218345	218405	in
218425	218805	Schleswig
218825	218905	Hol
219946	220066	Die
220086	220146	See
220166	220306	in
220346	220546	der
220566	221067	Mecklenburgischen
221087	221707	Seenplatte
221747	221927	und
221967	222087	im
222127	222287	Süden
222307	222367	im
222387	223468	Alpenvorland.
223528	223668	Also
223688	223928	genau
223968	224248	dort,
224268	224348	wo
224368	224548	das
224588	224709	Eis
224749	224869	lag.
224889	225049	Die
225069	225269	Mitte
225289	225809	Deutschlands
225829	226449	ging
226469	226790	dabei
226850	226950	fast
226970	227110	leer
227130	227250	aus.
243839	244019	Aber
244059	244219	nur
244279	244900	fast,
244920	245100	denn
245140	245500	natürlich
245520	245580	war
245600	245740	nicht.
245760	245880	nicht
245920	246040	nur
246080	246241	das
246281	246421	Eis
246461	246641	am
246681	247482	Werk.
247522	247602	In
247622	247762	der
247802	248102	Eifel
248122	248262	hat
248302	248442	sich
248482	248823	Magma
248843	249043	seinen
249063	249263	Weg
249283	249443	nach
249503	249723	oben
249763	250624	gesprengt
250664	250864	und
250884	251385	Kreisrunde
251425	251765	Krater
251805	252726	entlassen,
252766	252946	die
252966	253186	heute
253206	253386	als
253466	253746	Mare
253766	253926	voll
253966	254207	Wasser
254267	255227	stehen.
255287	255788	Flüsse
255828	256208	schnüren
256248	256368	bei
256388	256608	jeder
256648	256729	Sch
269618	269839	voll
269879	270039	und
270059	270299	werden
270339	270479	zu
270519	270919	riesigen,
270959	271600	brandbrandneuen
271640	272901	Seen.
272941	273021	Am
273061	273261	Ende
273301	273502	läuft
273542	273982	trotzdem
274002	274282	alles
274302	274462	auf
274483	274903	dieselbe
274943	275383	Bedingung
275423	276244	hinaus.
276264	276404	Ein
276444	276945	Loch,
276965	277145	das
277185	278526	Wasser
278566	278746	und
278766	279006	das
279046	279447	Wasser
279467	279607	das
279647	279967	hinein
280027	281048	läuft.
281088	281288	Fehlt
281308	281509	nur
281529	281769	eines
281809	282009	von
282029	282870	beiden,
282890	283090	bleibt
283130	283250	es
283270	283410	eine
283430	283811	trockene
283851	284871	Senke.
284891	285132	Eine
285172	285392	Sache
285412	285572	sollte
285592	285692	sein.
289035	289115	Es
289155	289215	ist
289235	289315	also
289335	289475	nichts
289535	289895	Ewigeses.
289935	289995	Er
290035	290155	ist
290195	290315	nur
290335	290416	ein
290436	291436	kurzer,
291456	291676	nasser
291776	291956	Moment
291976	292076	in
292096	292156	der
292176	292476	Geschichte
292516	293437	einer
293497	294237	Landschaft
294257	294337	und
294377	294537	wir
294557	295217	haben
295257	295417	das
295437	295617	Glück
295637	295777	ihn
295817	295998	gerade
296018	296318	erleben
296338	296398	zu
296498	296778	dürfen.
